Date,Open,High,Low,Close,Volume
"Sep 4, 2018","2,026.50","2,050.50","2,013.00","2,039.51","5,721,093"
"Sep 5, 2018","2,038.11","2,040.38","1,989.89","1,994.82","8,220,576"
"Sep 6, 2018","2,006.51","2,007.50","1,935.21","1,958.31","7,488,680"
"Sep 7, 2018","1,938.71","1,975.20","1,937.35","1,952.07","4,892,643"
"Sep 10, 2018","1,971.00","1,973.04","1,931.52","1,939.01","4,544,831"
"Sep 11, 2018","1,928.27","1,988.88","1,917.00","1,987.15","5,033,645"
"Sep 12, 2018","1,994.00","2,000.00","1,962.44","1,990.00","4,414,012"
"Sep 13, 2018","2,000.00","2,008.76","1,982.03","1,989.87","3,621,511"
"Sep 14, 2018","1,992.93","1,993.65","1,959.22","1,970.19","3,642,030"
"Sep 17, 2018","1,954.73","1,956.82","1,887.41","1,908.03","7,050,192"
"Sep 18, 2018","1,918.65","1,958.20","1,915.44","1,941.05","4,268,706"
"Sep 19, 2018","1,940.50","1,940.83","1,904.90","1,926.42","4,056,822"
"Sep 20, 2018","1,938.58","1,955.00","1,932.25","1,944.30","3,154,934"
"Sep 21, 2018","1,954.22","1,957.31","1,910.50","1,915.01","6,855,898"
"Sep 24, 2018","1,903.79","1,936.88","1,865.00","1,934.36","4,213,728"
"Sep 25, 2018","1,942.90","1,975.91","1,938.85","1,974.55","4,538,407"
"Sep 26, 2018","1,968.50","1,995.25","1,961.52","1,974.85","4,313,459"
"Sep 27, 2018","1,993.24","2,016.16","1,988.58","2,012.98","4,329,391"
"Sep 28, 2018","2,004.41","2,026.52","1,996.46","2,003.00","4,085,135"
"Oct 1, 2018","2,021.99","2,033.19","2,003.60","2,004.36","3,468,285"
"Oct 2, 2018","1,999.99","2,013.39","1,965.77","1,971.31","5,400,749"
"Oct 3, 2018","1,981.70","1,989.70","1,949.81","1,952.76","5,253,131"
"Oct 4, 2018","1,949.00","1,956.00","1,896.57","1,909.42","7,256,973"
"Oct 5, 2018","1,917.99","1,929.08","1,862.83","1,889.65","6,822,327"
"Oct 8, 2018","1,874.00","1,902.00","1,830.66","1,864.42","7,393,199"
"Oct 9, 2018","1,859.99","1,896.68","1,852.32","1,870.32","4,772,866"
"Oct 10, 2018","1,857.89","1,858.56","1,754.41","1,755.25","10,988,855"
"Oct 11, 2018","1,724.00","1,755.40","1,685.10","1,719.36","13,935,872"
"Oct 12, 2018","1,808.00","1,808.95","1,742.53","1,788.61","9,444,587"
"Oct 15, 2018","1,795.00","1,795.05","1,734.23","1,760.95","6,437,162"
"Oct 16, 2018","1,783.50","1,823.88","1,761.55","1,819.96","5,859,918"
"Oct 17, 2018","1,842.79","1,845.00","1,807.00","1,831.73","5,295,177"
"Oct 18, 2018","1,821.49","1,830.15","1,767.87","1,770.72","5,873,995"
"Oct 19, 2018","1,785.16","1,809.10","1,753.00","1,764.03","5,907,246"
"Oct 22, 2018","1,784.00","1,809.50","1,756.00","1,789.30","4,500,015"
"Oct 23, 2018","1,742.24","1,776.34","1,714.00","1,768.70","6,723,913"
"Oct 24, 2018","1,773.70","1,777.71","1,656.56","1,664.20","6,928,383"
"Oct 25, 2018","1,703.34","1,794.81","1,692.01","1,782.17","10,285,742"
"Oct 26, 2018","1,649.59","1,698.46","1,603.00","1,642.81","14,963,783"
"Oct 29, 2018","1,660.00","1,665.74","1,495.00","1,538.88","13,866,077"
"Oct 30, 2018","1,486.16","1,540.99","1,476.36","1,530.42","12,460,086"
"Oct 31, 2018","1,569.99","1,623.91","1,565.09","1,598.01","9,390,211"
"Nov 1, 2018","1,623.53","1,670.45","1,598.44","1,665.53","8,135,539"
"Nov 2, 2018","1,678.59","1,697.44","1,651.83","1,665.53","6,955,548"
"Nov 5, 2018","1,657.57","1,658.09","1,596.36","1,627.80","5,624,727"
"Nov 6, 2018","1,618.35","1,665.00","1,614.55","1,642.81","4,257,353"
"Nov 7, 2018","1,673.00","1,759.23","1,664.08","1,755.49","8,192,234"
"Nov 8, 2018","1,755.00","1,784.00","1,725.11","1,754.91","6,534,866"
"Nov 9, 2018","1,732.50","1,743.92","1,701.87","1,712.43","5,902,186"
"Nov 12, 2018","1,698.24","1,708.55","1,630.01","1,636.85","6,806,245"
"Nov 13, 2018","1,649.29","1,677.06","1,613.75","1,631.17","5,933,271"
"Nov 14, 2018","1,656.32","1,673.00","1,597.07","1,599.01","6,486,891"
"Nov 15, 2018","1,581.01","1,624.82","1,546.51","1,619.44","8,427,337"
"Nov 16, 2018","1,587.50","1,614.48","1,573.12","1,593.41","6,066,080"
"Nov 19, 2018","1,577.01","1,581.19","1,503.36","1,512.29","7,789,981"
"Nov 20, 2018","1,437.50","1,534.75","1,420.00","1,495.46","10,878,823"
"Nov 21, 2018","1,542.99","1,550.00","1,515.00","1,516.73","5,716,800"
"Nov 23, 2018","1,517.00","1,536.20","1,501.81","1,502.06","2,707,642"
"Nov 26, 2018","1,539.00","1,584.81","1,524.22","1,581.33","6,257,716"
"Nov 27, 2018","1,575.99","1,597.65","1,558.01","1,581.42","5,783,227"
"Nov 28, 2018","1,613.92","1,681.45","1,601.22","1,677.75","8,458,738"
"Nov 29, 2018","1,674.99","1,689.99","1,652.33","1,673.57","6,613,243"
"Nov 30, 2018","1,679.50","1,696.00","1,666.50","1,690.17","5,761,761"
