Date,Open,High,Low,Close,Volume
"Sep 4, 2018",80.41,80.69,79.81,80.29,"8,855,027"
"Sep 5, 2018",79.9,81.43,79.6,81.36,"13,878,418"
"Sep 6, 2018",81.11,81.64,80.34,80.46,"13,320,645"
"Sep 7, 2018",80.15,81.93,79.82,81.83,"16,417,783"
"Sep 10, 2018",82.24,82.74,81.66,81.71,"10,817,918"
"Sep 11, 2018",81.96,83.19,81.63,82.86,"11,891,917"
"Sep 12, 2018",83.25,83.78,82.87,83.13,"11,556,657"
"Sep 13, 2018",83.15,83.25,82.01,82.32,"11,162,714"
"Sep 14, 2018",82.42,83.15,82.27,82.92,"9,442,579"
"Sep 17, 2018",83,83.61,82.99,83.41,"8,403,325"
"Sep 18, 2018",83.9,84.13,83.45,83.63,"9,219,890"
"Sep 19, 2018",83.64,84.77,83.64,84.63,"10,413,591"
"Sep 20, 2018",84.86,85.34,84.54,84.82,"11,198,171"
"Sep 21, 2018",85.01,85.43,84.52,85.17,"26,639,437"
"Sep 24, 2018",85.79,87.09,85.72,86.6,"13,549,454"
"Sep 25, 2018",87.03,87.36,86.37,86.5,"12,200,690"
"Sep 26, 2018",86.02,86.5,85.69,85.78,"10,275,498"
"Sep 27, 2018",86.09,86.38,85.59,85.77,"7,895,430"
"Sep 28, 2018",85.25,85.93,84.99,85.02,"9,884,941"
"Oct 1, 2018",85.35,86.03,85.26,85.81,"8,568,210"
"Oct 2, 2018",85.8,86.67,85.62,86.46,"8,453,138"
"Oct 3, 2018",86.51,86.89,85.98,86.15,"10,206,722"
"Oct 4, 2018",85.5,86.08,85.25,85.58,"10,204,586"
"Oct 5, 2018",85.31,85.7,84.93,85.34,"9,217,393"
"Oct 8, 2018",84.79,86.31,84.65,86.13,"13,242,364"
"Oct 9, 2018",86.38,86.88,85.74,86.51,"10,177,885"
"Oct 10, 2018",86.73,86.82,84.5,84.52,"16,573,426"
"Oct 11, 2018",83.94,84.17,81.17,81.6,"20,320,055"
"Oct 12, 2018",82.13,82.24,80.27,81.38,"15,216,300"
"Oct 15, 2018",81.38,81.74,80.82,80.82,"10,558,752"
"Oct 16, 2018",80.51,81.27,80.01,81.2,"9,781,778"
"Oct 17, 2018",80.94,81.52,80.34,81.5,"12,247,748"
"Oct 18, 2018",81.2,82.47,81.2,81.85,"17,448,566"
"Oct 19, 2018",81.66,82.46,81.51,81.97,"12,098,692"
"Oct 22, 2018",82,82.18,80.64,81.15,"9,474,105"
"Oct 23, 2018",80.06,80.46,78.72,79.84,"15,465,125"
"Oct 24, 2018",80.13,80.26,77.55,77.62,"16,085,735"
"Oct 25, 2018",78.49,79.05,77.74,78.31,"12,315,457"
"Oct 26, 2018",77.87,78.41,76.96,77.53,"18,160,517"
"Oct 29, 2018",78.07,78.43,76.22,77.05,"15,707,035"
"Oct 30, 2018",77.62,79.03,77.42,78.78,"17,758,234"
"Oct 31, 2018",79.34,80.35,78.9,79.68,"16,629,070"
